bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx
school_corridor_evening,,MusMus-BGM-CP05,,,,,,,โถงทางเดินหน้าห้องเรียนชโลมด้วยสีส้มจากแสงอาทิตย์ยามเย็น,,,学校の廊下を歩く
,,,,,,,,,แม้จะเป็นทัศนียภาพที่คุ้นชินและพบเห็นได้เป็นประจำทุกวัน,,,
,,,,,,,,,แต่วันนี้ผมกลับรู้สึกว่ามันช่างแตกต่างจากเดิมอย่างลิบลับ,,,
,,,,,,,,,ผมชื่อคุซากะ ยูมะ เป็นนักเรียนมัธยมปลายปีที่สอง และเป็นเหรัญญิกสังกัดสภานักเรียน,,,
,,,,,,,,,โดยปกติช่วงเย็นหลังเลิกเรียน ผมมักจะไปทำงานที่ห้องสภานักเรียน,,,
,,,,,,,,,ถ้าไม่มีงาน หลังเลิกเรียนผมจะตรงดิ่งกลับบ้านทันที,,,
,,,,,,,,,แต่เย็นวันนี้แตกต่างออกไป เพราะมีนัดหมายสำคัญที่อาจเปลี่ยนชีวิตผมไปตลอดกาล,,,
school_classroom_evening,,,,,,,,,เมื่อผมเปิดประตูเข้าไปก็พบกับเด็กผู้หญิงคนหนึ่ง,,,教室の戸を開ける
,,,,,,,,,เส้นผมสีดำเงางามพลิ้วไสว แกว่งไกวไปตามสายลมที่พัดเข้ามาจากหน้าต่าง,,,
,,,,,,,,,แสงอาทิตย์ยามเย็นเผยให้เห็นถึงใบหน้าที่แดงระเรื่อ,,,
reika_hand03,,,,,,,,reika,ขอโทษนะที่เรียกมาตอนเย็นแบบนี้,,reika_1_1_001,
,,,,,,,,,เธอพูดด้วยน้ำเสียงอ่อนหวานละมุนหู แตกต่างจากปกติที่แข็งกร้าวและดุดัน,,,
reika_hand02,,,,,,,,reika,ฉันตัดสินใจได้แล้ว,,reika_1_1_002,
reika_hand04,,,,,,,,reika,วันนี้ฉันมีเรื่องสำคัญที่จะต้องบอกนายให้ได้,,reika_1_1_003,
,,,,,,,,,ผมสัมผัสได้ถึงแววตาที่เต็มเปี่ยมด้วยความร้อนแรง,,,
,,,,,,,,,ในที่สุดก็มาถึงแล้วสินะ ช่วงเวลาของฉัน,,,
reika_hand03,,,,,,,,reika,ยูมะ…,,reika_1_1_004,
,,,,,,,,reika,ฉัน…,,reika_1_1_005,
,,,,,,,,reika,ฉัน.........,,reika_1_1_006,
,,,,,,,,,หัวใจผมเต้นแรงอย่างที่ไม่เคยเป็นมาก่อน,,,心臓の鼓動1
,,,,,,,,,อา ในที่สุดชีวิตวัยรุ่นของผมกำลังผลิบาน,,,
,,,,,,,,,เอาเลย สารภาพรักกับฉันซะสิ!,,,
reika_hand08,,,,,,,,reika,เมื่อไหร่นายจะคืนเงินฉัน!!!,,reika_1_1_007,
,,MusMus-BGM-079,,,,,,yuma,เอ๊ะ! เมื่อกี้เธอว่าอะไรนะ,,,カラスが鳴く夕方
,,,,,,,,reika,ไม่ต้องมาเฉไฉ เมื่อไหร่นายจะคืนเงินที่ยืมฉันตั้งแต่เดือนก่อน!,,reika_1_1_008,
,,,,,,,,yuma,เดี๋ยวสิ เมื่อกี้นี้ต้องเป็นการสารภาพรักไม่ใช่เหรอ,,,
reika_hand07,,,,,,,,reika,หา? ฉันเนี่ยนะจะสารภาพรักคนอย่างนาย นี่นายยังสติดีอยู่หรือเปล่า,,reika_1_1_009,
,,,,,,,,yuma,ไม่จริง!,,,
,,,,,,,,yuma,ม่ายยยยยยยยยย!,,,
home_yuumabedroom_morning,,,,,,,,yuma,ความฝัน?,,,
,,,,,,,,yuma,ตกใจแทบแย่,,,
,,,,,,,,yuma,ว่าแต่เราต้องคืนเงินไหมเนี่ย,,,
black,,,,,,,,yuma,ช่างมันเถอะ นอนต่ออีกสักหน่อยดีกว่า,,,
,,,,,,,,yuma,zzzzz,,,
,,,,,,,,,…,,,
,,,,,,,,,……,,,
,,,,,,,,,………,,,
wakeup24,,Sunrise,,,,,,yuno_0,เช้าแล้ว ตื่นได้แล้ว!!!,,yuno_1_1_001,
,,,,,,,,,เสียงดังแปดหลอดกึกก้องทั่วโสตประสาท,,,
,,,,,,,,,,,,
,,,,,,,,yuno_0,.....มะ,,yuno_1_1_002,
,,,,,,,,yuno_0,......ยู……มะ,,yuno_1_1_003,
,,,,,,,,yuno_0,......ตื่นได้แล้ว!,,yuno_1_1_004,
wakeup01,,,,,,,,yuno_0,......ได้เวลาไปโรงเรียนแล้ว!,,yuno_1_1_005,
,,,,,,,,,ใครบางคนเขย่าตัวผม,,,
,,,,,,,,,,,,
wakeup03,,,,,,,,,จะนอนไปถึงไหน ได้เวลาตื่นนอนแล้ว,,,
,,,,,,,,yuma,ขออีก 5 นาที,,,
,,,,,,,,,ผมตอบกลับด้วยความงัวเงียและนอนต่อ,,,
,,,,,,,,,หนึ่ง…,,,
,,,,,,,,,สอง…,,,
,,,,,,,,,สาม…,,,
,,,,,,,,,หลังจากที่ผมหลับตาได้สามวินาที ใครบางคนเขย่าตัวผมอีกรอบ,,,
wakeup06,,,,,,,,yuno_0,ห้านาทีไม่มีจริงหรอกน่า รีบตื่นได้แล้ว,,yuno_1_1_006,
,,,,,,,,yuma,โปรดปลุกฉันในอีก 5 นาทีข้างหน้า,,,
wakeup04,,,,,,,,yuno_0,ขออภัย ในฐานะโมเดลปัญญาประดิษฐ์ด้านภาษา ฉันไม่เข้าใจคำสั่งของคุณ,,yuno_1_1_007,
,,,,,,,,yuma,เธอเป็น AI Chatbot หรือไง?!,,,
,,,,,,,,,เมื่อผมลืมตาขึ้นมาก็พบกับเด็กผู้หญิงคนหนึ่งจ้องมองลงมาที่ผม,,,
,,,,,,,,yuma,ยูโนะ…?,,,
wakeup15,,,,,,,,yuno,คำตอบถูกต้อง อรุณสวัสดิ์พี่จ๋า,,yuno_1_1_008,
,,,,,,,,,นึกว่าใคร ที่แท้ก็ยูโนะนี่เอง,,,
,,,,,,,,,เด็กผู้หญิงคนที่นั่งทับผมอยู่ในตอนนี้คือยูโนะ น้องสาวของผม,,,
,,,,,,,,,ก้นของเธอกำลังทับขาของผมอยู่,,,
,,,,,,,,,น้ำหนักที่กดทับลงมาส่งผลให้ผมไม่สามารถขยับตัวได้,,,
,,,,,,,,yuma,ยูโนะ ช่วยลุกหน่อยสิ พี่ขยับตัวไม่ได้,,,
wakeup00,,,,,,,,yuno,สัญญาก่อนสิว่าพี่จะรีบตื่น,,yuno_1_1_009,
,,,,,,,,,เธอตอบกลับด้วยน้ำเสียงที่เฉยเมย ไม่มีท่าทีว่าจะลุกขึ้นแม้แต่น้อย,,,
,,,,,,,,yuma,เข้าใจแล้ว ยอมตื่นแล้ว,,,
wakeup08,,,,,,,,yuno,ก่อนหน้านี้พี่บอกว่าขออีก 5 นาทีใช่ไหม ตอนนี้ยังเหลืออีก 2 นาที 16 วินาที จะอยู่แบบนี้ต่อไปอีกสักหน่อยก็ได้นะ,,yuno_1_1_010,
,,,,,,,,,เมื่อพูดจบ เธอจงใจแกล้งเทน้ำหนักกดทับขาของผม,,,
,,,,,,,,,แม้ว่าเธอไม่ได้หนักมาก แต่ก็ไม่ได้เบาเหมือนปุยนุ่น ด้วยเหตุนี้ขาของผมจึงรับแรงกระแทกเข้าเต็มๆ,,,
,,,,,,,,,ถึงจะสัมผัสได้ถึงแรงกดที่เพิ่มขึ้น แต่มันก็นุ่มผิดคาด,,,
,,,,,,,,,บางที…อยู่ต่อแบบนี้อีกสักหน่อยก็ไม่เลวเหมือนกันนะ,,,
wakeup13,,,,,,,,yuno,หืม? ทำไมพี่เงียบไปล่ะ,,yuno_1_1_011,
wakeup21,,,,,,,,yuno,หรือว่ากำลังหลงเสน่ห์น้องสาวสุดน่ารักคนนี้จนทนไม่ไหวแล้ว ว้าย~~,,yuno_1_1_012,
,,,,,,,,,ผมก็ไม่ปฏิเสธหรอกนะว่ายูโนะน่ารัก แต่พูดคำว่าน่ารักออกมาด้วยตัวเองนี่มันก็กระไรอยู่นะ,,,
wakeup19,,,,,,,,yuno,จะว่าไป พี่ฝันถึงอะไรเหรอ,,yuno_1_1_013,
,,,,,,,,,โดยปกติคนเรามักจะลืมความฝันเมื่อตื่นขึ้นมา แต่ผมกลับจดจำความฝันได้อย่างชัดเจน,,,
,,,,,,,,yuma,ไม่มีอะไรหรอก ก็แค่เรื่องสัพเพเหระทั่วไป,,,
,,,,,,,,,ขืนตอบตามความจริงคงโดนถามอีกยาว บอกปัดไปก่อนดีกว่า,,,
wakeup20,,,,,,,,yuno,จริงเหรอ ต่อให้เป็นความฝันธรรมด๊าธรรมดา หนูก็สนใจและอยากรู้เหมือนกันนะ,,yuno_1_1_014,
