bg,bg_effect,bgm,zoom,character1,character2,face,popup,who_talk,talk,sound_effect,voice,sfx,talk_en,,
home_yuumabedroom_morning,wakeup24,Sunrise,,,,,,yuno,ยู…มะ…,,yuno_2_1_001,,Yu... ma...,,
,,,,,,,,yuno,ยูมะ ตื่นได้แล้ว!,,yuno_2_1_002,,"Yuma, time to wake up!",,
,wakeup01,,,,,,,yuno,ได้เวลาไปโรงเรียนแล้ว!,,yuno_2_1_003,,It's time for school!,,
,,,,,,,,,สิ่งแรกที่ผมพบเห็นในตอนเช้าคือใบหน้ายิ้มแย้มแจ่มใสของยูโนะ,,,,"The first thing I see in the morning is Yuno's bright, smiling face.",,
,,,,,,,,,วันนี้ยูโนะก็นั่งทับตัวผมอีกแล้ว,,,,"Today, Yuno is sitting on top of me again.",,
,,,,,,,,yuma,ยูโนะ ช่วยลุกหน่อย พี่ขยับตัวไม่ได้แล้วเนี่ย,,,,"Yuno, can you get off? I can't move.",,
,wakeup03,,,,,,,yuno,ไม่! หนูไม่ลุกจนกว่าพี่จะตื่น,,yuno_2_1_004,,No! I won't get up until you wake up.,,
,,,,,,,,yuma,ก็ได้ ตื่นแล้ว ลุกออกไปที,,,,"Fine, I'm awake. Now get off.",,
,wakeup04,,,,,,,yuno,ก็ได้,,yuno_2_1_005,,Okay.,,
,,,,,,,,,ยูโนะยอมลุกขึ้นแต่โดยดี,,,,Yuno obediently gets up.,,
,wakeup07,,,,,,,yuno,วันนี้เกม Seal Impact มีอัพเดตใหม่ หนูไม่ว่างมาปลุกพี่ซ้ำหรอกนะ ,,yuno_2_1_006,,There's a new update for Seal Impact today. I won't have time to wake you up again.,,
,,,,,,,,yuno,ห้ามนอนเด็ดขาด ขืนหลับต่อละก็ไปโรงเรียนสายแน่,,yuno_2_1_007,,"Don't you dare fall back asleep. If you do, you'll be late for school.",,
home_yuumabedroom_morning,,,,,,,,,นี่เรามีน้องสาวหรือแม่คนที่สองกันแน่เนี่ย…,,,ドアを閉める2,I wonder if we have a little sister or a second mother...,,
,,,,,,,,,ยูโนะพูดทิ้งท้ายก่อนเดินออกจากห้อง,,,,Yuno says as she walks out of the room.,,
,,,,,,,,yuma,ง่วงจัง ถ้านอนต่ออีกสัก 5 นาทีก็คงไม่เป็นอะไรหรอกมั้ง,,,,I'm so sleepy. Surely another 5 minutes won't hurt.,,
,,,,,,,,,พอพูดจบ ผมก็ดำดิ่งเข้าสู่ห้วงนิทรา,,,,"As soon as I say that, I drift back into sleep,",,
,,,,,,,,,โดยที่ไม่ได้ตระหนักว่าการนอนต่อรอบท่ีสองคือจุดเริ่มต้นของหายนะ,,,,Unaware that this second nap marks the beginning of disaster.,,
,,,,,,,,yuma,zzz,,,,zzz,,
black,,,,,,,,,…,,,,...,,
,,,,,,,,,……,,,,......,,
home_yuumabedroom_morning,,,,,,,,yuma,หืม? กี่โมงแล้วเนี่ย,,,,Hm? What time is it?,,
,,,,,,,,,ผมมองนาฬิกา พบว่าเวลาไม่ได้ผ่านไปแค่ห้านาที แต่เป็นสามสิบห้านาที,,,,"I look at the clock and realize that not five, but thirty-five minutes have passed.",,
,,MusMus-BGM-087,,,,,,yuma,แย่แล้ว สายแล้ว,,,,"Oh no, I'm late.",,
,,,,,,,,,ด้วยเหตุนี้ผมรีบแต่งตัวและวิ่งพรวดออกจากห้องนอน,,,,"With that, I hurriedly get dressed and dash out of my bedroom.",,
home_livingroom_morning,,,,yuno_c,,normal_2,,yuma,ยูโนะ ทำไมไม่เข้ามาปลุกพี่อีกรอบล่ะ,,,,"Yuno, why didn't you come wake me up again?",,
,,,,,,pout2_2,,yuno,หนูเข้าไปปลุกพี่อีกรอบแล้ว แต่พี่เป็นคนตอบเองว่าโอเค,,yuno_2_1_008,,"I did come to wake you up again, but you said you were okay.",,
,,,,,,,,yuma,จริงเหรอ ไม่รู้ตัวเลย,,,,Really? I don't remember at all.,,
,,,,,,hee,,yuno,จริงสิ หนูจะโกหกทำไม,,yuno_2_1_009,,Of course. Why would I lie?,,
,,,,,,teehee,,yuno,อีกอย่าง รู้มั้ยว่าวันนี้เกม Seal Impact มีอัพเดตใหม่ หนูต้องรีบเล่นก่อนคนอื่น,,yuno_2_1_010,,"Besides, did you know Seal Impact has a new update today? I need to play before everyone else.",,
,,,,,,,,,ช่วงหลังมานี้น้องสาวของผมเริ่มรักเกมมากกว่าผมแล้วหรือเปล่าเนี่ย…,,,,I wonder if my little sister has started to love games more than me lately...,,
,,,,,,,,yuma,ช่างเถอะ พี่ไปก่อนละนะ,,,,"Anyway, I'm heading out.",,
,,,,,,ah_2,,yuno,ไม่กินข้าวเช้าก่อนเหรอ,,yuno_2_1_011,,Aren't you going to have breakfast?,,
,,,,hide yuno_c,,,,yuma,โทษที แต่วันนี้ไม่ทันแล้ว,,,,"Sorry, but there's no time today.",,
home_entrance_noon,,MusMus-BGM-103,,yuno_c,,normal,,,ขณะที่ผมกำลังเดินออกจากบ้าน ยูโนะก็เดินมาหาผมที่บริเวณทางเข้าหน้าประตูบ้าน,,,,"As I'm about to leave the house, Yuno walks up to me near the front door.",,
,,,,,,,,yuno,เดี๋ยวก่อน,,yuno_2_1_012,,Wait a second.,,
,,,,,,,,yuma,มีอะไรเหรอ,,,,What is it?,,
,,,,,,wow,shine,yuno,พี่ไม่ลองคาบขนมปังแล้ววิ่งไปโรงเรียนดูล่ะ,,yuno_2_1_013,,Why don't you try running to school with a piece of toast in your mouth?,,
